ID,Real_C1,Real_C2,Real_C3,Real_C4,Real_C5,Real_C6,Real_C7,Real_C8,Recovered_C1,Recovered_C2,Recovered_C3,Recovered_C4,Recovered_C5,Recovered_C6,Recovered_C7,Recovered_C8
1,0.49382716,0.307692308,0.641025641,0.916666667,1,0.533333333,0.974358974,0.153846154,0.592592593,0.205128205,0.615384615,0.75,0.966666667,0.6,0.974358974,0.205128205
2,0.987654321,0.974358974,0.769230769,1,0.733333333,0.8,0.692307692,0.897435897,0.925925926,0.974358974,0.794871795,0.722222222,0.7,0.866666667,0.743589744,0.666666667
3,0.975308642,0.948717949,1,1,0.965517241,0.166666667,1,0.128205128,0.987654321,0.948717949,1,0.861111111,1,0.2,1,0.051282051
4,0.679012346,0.769230769,0.58974359,1,0.966666667,0.6,0.948717949,0.461538462,0.728395062,0.794871795,0.58974359,0.916666667,1,0.533333333,0.948717949,0.487179487
5,0.24691358,0.256410256,0.102564103,0.972222222,1,0.466666667,0.846153846,0.205128205,0.333333333,0.230769231,0.076923077,0.777777778,1,0.466666667,0.794871795,0.256410256
6,0.234567901,0.358974359,0.256410256,0.944444444,0.966666667,0.533333333,1,0.743589744,0.37037037,0.307692308,0.307692308,0.75,0.966666667,0.566666667,1,0.820512821
7,1,1,1,1,1,0.4,0.973684211,0.58974359,0.975308642,1,1,0.972222222,1,0.5,0.973684211,0.58974359
8,0.259259259,0.102564103,0.205128205,0.833333333,0.833333333,0.266666667,0.974358974,0.025641026,0.308641975,0.102564103,0.256410256,0.638888889,0.866666667,0.2,0.974358974,0.025641026
9,0.644736842,0.571428571,0.722222222,0.71875,0.590909091,0.518518519,0.405405405,0.6,0.552631579,0.6,0.694444444,0.625,0.545454545,0.518518519,0.297297297,0.485714286
10,0.802469136,0.358974359,0.897435897,0.972222222,0.933333333,0.266666667,0.974358974,0.076923077,0.777777778,0.307692308,0.923076923,0.75,0.933333333,0.333333333,0.974358974,0.102564103
11,0.64556962,0.871794872,0.552631579,1,0.896551724,0.8,0.846153846,0.5,0.772151899,0.769230769,0.526315789,0.828571429,0.896551724,0.833333333,0.794871795,0.421052632
12,0.209876543,0.102564103,0.102564103,0.555555556,0.4,0.4,0.743589744,0.307692308,0.160493827,0.051282051,0.153846154,0.638888889,0.266666667,0.333333333,0.692307692,0.435897436
13,0.012345679,0,0.025641026,0.111111111,0.033333333,0.5,0.051282051,0.384615385,0.049382716,0,0,0.222222222,0.066666667,0.4,0.076923077,0.384615385
14,0.209876543,0.256410256,0.025641026,0.138888889,0,0.6,0.025641026,0.41025641,0.259259259,0.282051282,0.076923077,0.361111111,0.133333333,0.666666667,0.102564103,0.256410256
15,0.111111111,0.179487179,0.128205128,0.444444444,0.166666667,0.666666667,0.205128205,0.564102564,0.12345679,0.179487179,0.153846154,0.416666667,0.2,0.666666667,0.230769231,0.538461538
16,0.962962963,1,1,1,1,0.3,1,0.820512821,0.938271605,0.948717949,1,0.833333333,1,0.266666667,0.974358974,0.846153846
17,0.62962963,0.897435897,0.342105263,0.972222222,0.571428571,0.933333333,0.435897436,0.657894737,0.654320988,1,0.342105263,0.861111111,0.642857143,0.866666667,0.307692308,0.657894737
18,0.185185185,0.179487179,0.282051282,0.972222222,0.966666667,0.333333333,0.974358974,0.461538462,0.333333333,0.076923077,0.333333333,0.638888889,1,0.266666667,0.948717949,0.487179487
19,0.790123457,0.794871795,0.846153846,0.888888889,0.9,0.633333333,0.692307692,0.282051282,0.777777778,0.794871795,0.897435897,0.805555556,0.966666667,0.6,0.717948718,0.333333333
20,0.975308642,1,0.948717949,0.944444444,0.866666667,0.689655172,0.846153846,0.684210526,0.938271605,0.923076923,0.871794872,0.888888889,0.9,0.655172414,0.820512821,0.631578947
21,0.87654321,0.564102564,0.205128205,0.916666667,0.4,0.966666667,0.153846154,0.333333333,0.827160494,0.58974359,0.153846154,0.75,0.433333333,0.966666667,0.153846154,0.256410256
22,0.938271605,1,0.897435897,1,0.966666667,0.6,0.897435897,0.564102564,0.913580247,0.974358974,0.871794872,0.916666667,1,0.6,0.846153846,0.641025641
23,0.7875,0.666666667,0.358974359,0.916666667,0.8,0.7,0.717948718,0.307692308,0.825,0.692307692,0.384615385,0.888888889,0.866666667,0.7,0.692307692,0.282051282
24,0.160493827,0.102564103,0.102564103,0.944444444,0.633333333,0.7,0.820512821,0.153846154,0.234567901,0.179487179,0.153846154,0.777777778,0.666666667,0.7,0.794871795,0.153846154
25,0.790123457,0.769230769,0.435897436,0.888888889,0.6,0.666666667,0.58974359,0.512820513,0.790123457,0.641025641,0.487179487,0.861111111,0.6,0.666666667,0.538461538,0.487179487
26,0.259259259,0.256410256,0.102564103,0.777777778,0.633333333,0.7,0.641025641,0.641025641,0.395061728,0.282051282,0.128205128,0.583333333,0.466666667,0.866666667,0.717948718,0.743589744
27,0.283950617,0.41025641,0.128205128,0.944444444,0.766666667,0.6,0.769230769,0.564102564,0.432098765,0.307692308,0.102564103,0.527777778,0.733333333,0.666666667,0.820512821,0.564102564
28,0.222222222,0.051282051,0,0.305555556,0.133333333,0.766666667,0.076923077,0.461538462,0.209876543,0.076923077,0.051282051,0.222222222,0.2,0.7,0.153846154,0.512820513
