ID,Real_C1,Real_C2,Real_C3,Real_C4,Real_C5,Real_C6,Real_C7,Real_C8,Recovered_C1,Recovered_C2,Recovered_C3,Recovered_C4,Recovered_C5,Recovered_C6,Recovered_C7,Recovered_C8
1,0.24691358,0.333333333,0.153846154,0.972222222,0.733333333,0.766666667,0.641025641,0.692307692,0.271604938,0.384615385,0.153846154,0.75,0.666666667,0.766666667,0.615384615,0.743589744
2,0.679012346,0.948717949,0.078947368,1,0.266666667,1,0.230769231,0.897435897,0.703703704,0.948717949,0.105263158,0.944444444,0.133333333,1,0.230769231,0.871794872
3,0.87654321,1,0.794871795,0.685714286,0.566666667,0.7,0.435897436,0.487179487,0.864197531,1,0.846153846,0.628571429,0.6,0.666666667,0.41025641,0.487179487
4,0.777777778,0.974358974,0.564102564,0.944444444,0.766666667,0.766666667,0.461538462,0.820512821,0.75308642,0.897435897,0.564102564,0.916666667,0.766666667,0.766666667,0.461538462,0.743589744
5,0.12345679,0.076923077,0.179487179,0.805555556,0.466666667,0.6,0.743589744,0.128205128,0.160493827,0.051282051,0.282051282,0.361111111,0.466666667,0.7,0.58974359,0.051282051
6,1,1,0.948717949,0.916666667,0.266666667,0.966666667,0.153846154,0.282051282,0.975308642,1,1,0.833333333,0.266666667,1,0.128205128,0.282051282
7,1,1,0.974358974,0.972222222,0.566666667,0.9,0.435897436,0.794871795,0.913580247,0.897435897,1,0.972222222,0.7,0.933333333,0.41025641,0.564102564
8,0.962962963,0.923076923,0.769230769,0.916666667,0.366666667,0.9,0.435897436,0.743589744,0.962962963,0.923076923,0.846153846,0.861111111,0.3,1,0.384615385,0.846153846
9,0.592592593,0.948717949,0.615384615,0.972222222,0.8,0.9,0.58974359,0.717948718,0.530864198,0.948717949,0.666666667,0.861111111,0.766666667,0.9,0.615384615,0.871794872
10,0.012345679,0.025641026,0,0.527777778,0.466666667,0.266666667,0.58974359,0.641025641,0.037037037,0.025641026,0.025641026,0.472222222,0.433333333,0.3,0.564102564,0.58974359
11,0.962962963,0.948717949,0.846153846,0.942857143,0.866666667,0.533333333,0.743589744,0.692307692,0.938271605,1,0.897435897,0.857142857,0.866666667,0.566666667,0.769230769,0.512820513
12,0.580246914,0.717948718,0.128205128,0.75,0,0.933333333,0,0.897435897,0.666666667,0.769230769,0.153846154,0.527777778,0.1,0.866666667,0.076923077,0.897435897
13,0.679012346,0.868421053,0.487179487,0.777777778,0.466666667,0.733333333,0.435897436,0.435897436,0.666666667,0.710526316,0.487179487,0.75,0.5,0.733333333,0.435897436,0.461538462
14,1,1,0.974358974,0.972222222,0.066666667,1,0.179487179,0.974358974,1,0.974358974,0.948717949,0.916666667,0.066666667,1,0.230769231,0.820512821
15,0.012345679,0,0,0.722222222,0.366666667,0.8,0.512820513,0.102564103,0,0,0,0.333333333,0.433333333,0.566666667,0.41025641,0.102564103
16,0.864197531,0.846153846,0.794871795,0.944444444,0.766666667,0.6,0.897435897,0.461538462,0.814814815,0.794871795,0.794871795,0.75,0.633333333,0.533333333,0.897435897,0.538461538
17,0.975308642,0.974358974,0.769230769,0.972222222,0.7,0.766666667,0.58974359,0.769230769,0.938271605,0.948717949,0.846153846,0.888888889,0.666666667,0.766666667,0.58974359,0.820512821
18,0.49382716,0.58974359,0,0.472222222,0.066666667,0.9,0.076923077,0.58974359,0.444444444,0.615384615,0.025641026,0.361111111,0.066666667,0.933333333,0.051282051,0.58974359
